MeasurementId,Technology,Latitude,Longitude,RSRQ,RSRP,RSSI,Network_Operator
1305,lte-m,55.782064,12.518835,18,60,30,Telia
1306,lte-m,55.782297,12.518773,16,66,31,Telia
1307,lte-m,55.782093,12.518753,12,66,31,Telia
1308,lte-m,55.782220,12.518765,12,66,31,Telia
1309,lte-m,55.782275,12.518933,10,65,31,Telia
1310,lte-m,55.782427,12.518928,14,63,31,Telia
1311,lte-m,55.782212,12.518699,24,65,31,Telia
1312,lte-m,55.782108,12.518758,20,65,31,Telia
1313,lte-m,55.782145,12.518738,10,63,31,Telia
1314,lte-m,55.782131,12.518779,12,65,31,Telia
1315,lte-m,55.782180,12.518809,20,64,31,Telia
1316,lte-m,55.781958,12.518694,20,64,31,Telia
1317,lte-m,55.782046,12.518694,18,64,31,Telia
1318,lte-m,55.782194,12.518762,8,63,31,Telia
2469,lte-m,55.782140,12.518683,12,42,23,Telia
2470,lte-m,55.782067,12.518659,24,50,23,Telia
2473,lte-m,55.782065,12.518569,10,53,28,Telia
2474,lte-m,55.781891,12.518526,16,52,26,Telia
2475,lte-m,55.782111,12.518690,16,56,29,Telia
2476,lte-m,55.782176,12.518693,12,54,29,Telia
2477,lte-m,55.782208,12.519007,18,52,26,Telia
2480,lte-m,55.782161,12.519123,18,51,26,Telia
2481,lte-m,55.782302,12.519682,12,48,26,Telia
2482,lte-m,55.782185,12.521641,12,51,27,Telia
2483,lte-m,55.782250,12.522773,10,54,29,Telia
2484,lte-m,55.783169,12.523434,12,59,31,Telia
2485,lte-m,55.783728,12.523921,22,47,22,Telia
2486,lte-m,55.784488,12.524240,14,49,25,Telia
2487,lte-m,55.785452,12.523893,8,51,28,Telia
2488,lte-m,55.785918,12.522298,12,53,28,Telia
2489,lte-m,55.786273,12.522075,16,37,19,Telia
2490,lte-m,55.787000,12.522657,22,46,22,Telia
2491,lte-m,55.786959,12.523953,18,49,24,Telia
2492,lte-m,55.787029,12.525709,18,49,24,Telia
2493,lte-m,55.787622,12.526649,10,42,23,Telia
2494,lte-m,55.787483,12.528662,14,44,23,Telia
2495,lte-m,55.787697,12.529798,18,54,27,Telia
2496,lte-m,55.787737,12.531503,12,40,21,Telia
2497,lte-m,55.787931,12.532349,10,45,24,Telia
2498,lte-m,55.787835,12.533192,8,45,25,Telia
2499,lte-m,55.787552,12.535328,20,58,29,Telia
2500,lte-m,55.787390,12.534700,18,52,26,Telia
2501,lte-m,55.787876,12.536723,16,53,27,Telia
2502,lte-m,55.787574,12.538481,10,32,18,Telia
2504,lte-m,55.787340,12.546116,12,35,19,Telia
2505,lte-m,55.787156,12.544357,14,33,17,Telia
2506,lte-m,55.787422,12.546321,4,28,17,Telia
2507,lte-m,55.787421,12.548281,16,30,15,Telia
2508,lte-m,55.787704,12.549574,6,22,14,Telia
2509,lte-m,55.787523,12.552969,0,11,11,Telia
